WP_456470306.1	WP_456470306.1
WP_456470306.1	WP_456488874.1
WP_456470306.1	WP_013681681.1
MBQ8068067.1	MBQ8068067.1
WP_252380219.1	WP_252380219.1
MCZ2394955.1	MCZ2394955.1
CAB5226530.1	CAB5226530.1
WP_292487562.1	WP_292487562.1
ETR67898.1	ETR67898.1
CCY69067.1	CCY69067.1
WP_196037643.1	WP_196037643.1
WP_196037643.1	CCX42476.1
WP_196037643.1	WP_161846033.1
WP_196037643.1	MBS4880994.1
WP_196037643.1	WP_337675813.1
WP_196037643.1	WP_216631872.1
WP_196037643.1	WP_187015484.1
WP_196037643.1	WP_418505798.1
WP_196037643.1	MBS4879418.1
WP_196037643.1	DAJ99268.1
WP_196037643.1	WP_216496584.1
WP_196037643.1	MCI8690864.1
WP_196037643.1	DAV08928.1
WP_196037643.1	WP_122791362.1
WP_196037643.1	WP_216471060.1
WP_196037643.1	DAU68472.1
WP_196037643.1	WP_281693225.1
WP_196037643.1	WP_412394041.1
WP_196037643.1	MFR6440106.1
WP_196037643.1	WP_412393981.1
WP_196037643.1	MFR6440038.1
WP_196037643.1	MFR6440049.1
WP_196037643.1	WP_412394032.1
WP_196037643.1	WP_412951572.1
WP_196037643.1	WP_412951523.1
WP_196037643.1	WP_412951603.1
WP_196037643.1	WP_412951511.1
WP_196037643.1	MBR2895069.1
WP_196037643.1	MFR6627694.1
WP_196037643.1	WP_163390378.1
WP_196037643.1	WP_294559829.1
WP_196037643.1	WP_226907656.1
WP_196037643.1	MFQ7062126.1
WP_196037643.1	DAI25436.1
WP_196037643.1	DAG69035.1
WP_196037643.1	WP_226928360.1
WP_196037643.1	WP_055271465.1
WP_196037643.1	MBR2144443.1
WP_196037643.1	MCI5549785.1
WP_196037643.1	WP_195976698.1
WP_196037643.1	DAZ69061.1
WP_196037643.1	DAJ41535.1
WP_196037643.1	DAI97616.1
WP_196037643.1	MDR0557242.1
WP_196037643.1	WP_195384027.1
WP_196037643.1	WP_349952472.1
WP_196037643.1	WP_204887494.1
WP_196037643.1	WP_195384015.1
WP_196037643.1	MBQ6482212.1
WP_196037643.1	DAR09634.1
WP_196037643.1	MCI8843232.1
WP_196037643.1	MCD7859933.1
WP_196037643.1	DAE40095.1
WP_196037643.1	DAH27697.1
WP_196037643.1	WP_186853529.1
WP_196037643.1	MGN0995176.1
WP_196037643.1	MDK2937334.1
WP_196037643.1	MGE4509442.1
WP_196037643.1	MDK2936508.1
WP_196037643.1	MGD9474028.1
WP_196037643.1	MBQ9082255.1
WP_196037643.1	MBO5741230.1
WP_196037643.1	DAL38732.1
WP_196037643.1	MDR1620710.1
WP_196037643.1	MCD7735693.1
WP_196037643.1	NCA87288.1
WP_196037643.1	MFR8955766.1
WP_196037643.1	WP_007489661.1
WP_340788665.1	WP_340788665.1
WP_340788665.1	WP_445683221.1
WP_340788665.1	WP_445683218.1
WP_340788665.1	WP_340784560.1
WP_340788665.1	WP_340787494.1
WP_340788665.1	WP_340787308.1
WP_340788665.1	WP_340785974.1
WP_340788665.1	WP_340787170.1
WP_340788665.1	MEG0472462.1
WP_340788665.1	WP_340782042.1
MFN8487191.1	MFN8487191.1
HEV2460584.1	HEV2460584.1
WP_141247988.1	WP_141247988.1
WP_141247988.1	WP_149972931.1
WP_141247988.1	HCQ5709148.1
WP_141247988.1	HAU5204153.1
WP_141247988.1	HAU5208243.1
WP_141247988.1	EJA6771185.1
